"ISO_Alpha_3","I_1","I_2","I_3","I_4","I_5","I_6","I_7","I_8","I_9","I_10","I_11","I_13","I_15","I_16","I_17","I_18","I_19","I_20","I_21","I_22","I_23","I_24","I_25","I_26"
"GRC",NA,0.142620333,85,1.606469236,4.38067593,4054,14216.86,940,3.271,272011,74.49534028,34.96,2.5,33,38.74,2,0.325853,0.9931,0.17,0.045954667,1432000,0.001045611,5.816152597,17040.77333
"GRD",NA,0.567807333,101.8,1.963953731,2.975808268,16.99,781.32,0,3.582,0,NA,9.37,NA,0,22.22,58,0.0649708,NA,0.072768992,0.083679167,NA,0.000234735,NA,NA
"GRL",NA,NA,99.3,NA,NA,0.22,NA,0,3.578,NA,NA,41.12,2.5,NA,16.36,NA,0.835442,1,0.136840496,0.0013595,NA,0,0.361664997,NA
"GTM",497968,0.527191667,95.7,0.987184404,1.886453351,3540,22552.31,2360,2.961,156185,33.68599006,31.75,15.6,5,15.38,83,0.489214,0.9275,0.126422925,0.088715714,20158523,0.007038094,4.03802366,40215.7
"GUF",NA,1.044576,96.8,111.3502725,2.335954744,8130,NA,0,3.208,NA,NA,52.96,NA,NA,31.25,NA,0.624421,0.9953,0.160345046,0.008529833,219956,0.000351291,2.173555727,NA
"GUM",NA,0.253050333,NA,NA,NA,25,NA,0,4.5,NA,NA,21.92,NA,NA,50,NA,0.0859179,NA,0.169999958,0.08005,NA,NA,NA,NA
"GUY",NA,0.946309667,94.8,66.57866808,3.066242014,16526,2402.21,22063,3.322,12119,48.97773362,8.74,10.6,0,NA,20,0.554175,0.9963,0.066321126,0.023739429,1460530,0.000688785,2.044296795,786.45
"HKG",NA,0.356761667,NA,NA,NA,NA,NA,NA,3.576,5669,NA,41.9,NA,NA,NA,NA,0.149495,0.993,0.169998672,NA,NA,NA,NA,114
"HMD",NA,NA,NA,NA,NA,NA,NA,NA,3.832,NA,NA,99.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HND",20164,0.524274333,92.8,1.770902585,1.679273575,4592,11585.84,100,2.5485,73363,27.07645321,28.44,12.2,0,14.29,66,0.456867,0.9493,0.158398383,0.063964857,8926336,0.006490873,3.048923512,14389.82
